name,price,old_price,discount
"Lenovo Thinkpad  Think pad, Intel ,4GB RAM,500GB HDD,11.6""-Black,Windows 10 (6MTHS WRTY)","UGX 459,000","UGX 799,000",43%
"EliteBook X360 1030 G3 Core i7 16GB 512GB SSD Touchscreen-Repacked/Renewed Notebook 13.3""-Silver","UGX 1,620,000","UGX 4,500,000",64%
"DELL Student Laptop,Intel Pentium/Celeron,64GB SSD,4GB RAM,11.6""-Gey/Black,Renewed","UGX 319,000","UGX 600,000",47%
ThinkPad 11e Celeron 4GB RAM 128GB SSD 11.6 (Refurbished) Black,"UGX 439,000","UGX 900,000",51%
"DELL Latitude 3340 13.3 Inch Laptop, Intel Core I5, 500GB HDD Storage , 8GB RAM (Renewed) Plus free Bag - Grey","UGX 540,000","UGX 1,500,000",64%
"Elitebook 8460/8470p, Core i5, 14.1, 8GB RAM 500GB  -Silver - Refurbished","UGX 449,000","UGX 760,000",41%
"Lenovo V15 G2 IJL Laptop – 15.6 FHD, Intel Celeron N4500, 8GB RAM , 128SSD, Brand New with a Hp Deskjet 2320 Printer All-in-One .","UGX 1,070,000","UGX 1,500,000",29%
"Lenovo Renewed Mini 11e 11.6"" Inch 4GB RAM 4hours 128GB SSD Plus Bag and Pouche -Black","UGX 399,000","UGX 799,000",50%
"DELL 3140 Mini Laptop, Intel Pentium, 4GB Ram, 192 GB SSD 11.6”, Renewed (3 Months Warranty)-Grey","UGX 389,000","UGX 799,988",51%
"X260/X270 Core I5 6th Gen 8GB Ram, 256GB SSD (Renewed ) - Black","UGX 599,000","UGX 1,099,000",45%
"Thinkpad T470s Core I5,6th Gen,8GB Ram, 256GB SSD - Black","UGX 750,000","UGX 1,990,000",62%
"Refurbished X250/X240 Core I5 ,8GB RAM, 500GB HDD,12.5"" Screen(3 MONTHS WARRANTY) - Black","UGX 499,000","UGX 989,995",50%
"820 , Intel Core I5  8GB RAM, 500 GB HDD With 3-5hrs Battery Slim Laptop Windows 10 -Black(Refurbished) Grade A","UGX 550,000","UGX 1,150,000",52%
"Hp Victus Gaming 16 Laptop – Intel Core i7 13th Gen 2.40GHz, 16GB DDR5 RAM, 1TB SSD, 8GB RTX Graphics, 16.1"" FHD Display, Backlit Keyboard, Bang & Olufsen Audio, Windows 11 – Black","UGX 4,450,000","UGX 5,000,000",11%
"Latitude 7280/5270,12.5"" Core I5, 8GB,256GB SSD-Refurbished-Black","UGX 599,000","UGX 1,089,995",45%
"Lenovo Refurbished ThinkPad 11e 4GBRAM 128GB SSD 11.6"" Plus Free 500GB EXTERNAL HARD-DRIVE-Black (Grade A)","UGX 390,000","UGX 650,000",40%
